GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km
1400000US37017950600,11.7,17826.051125380138,0
1400000US37025041602,9.4,8892.858083713367,0
1400000US37027030900,10.5,12235.151433284174,0
1400000US37027031402,9.5,1690.9262219798295,2
1400000US37021002206,7.9,1114.7585140219032,10
1400000US37041930102,9.5,6199.150512384992,0
1400000US37057061100,9.8,2382.8427728654706,10
1400000US37025040600,9.3,7272.345351278137,0
1400000US37053110101,8.0,32919.23988085672,0
1400000US37051003309,9.3,2157.8508877435206,14
1400000US37051003104,10.4,1829.419993060569,4
1400000US37057060303,9.3,2907.261725470903,1
1400000US37027031300,9.7,4692.660572321002,1
1400000US37025041601,8.9,3957.542984388559,1
1400000US37021000800,8.4,1124.6501095655217,30
1400000US37031970304,9.8,1241.1011610465346,2
1400000US37063000200,9.6,766.2380127307657,26
1400000US37063002022,8.7,473.1065320044752,26
1400000US37021003203,9.0,3596.437346130133,1
1400000US37021000100,9.7,52.780173903582046,28
1400000US37057061703,10.3,1330.6260664185547,1
1400000US37051003304,9.6,317.00713994763214,13
1400000US37035011701,8.8,3014.3321827531117,7
1400000US37033930500,10.0,16274.532240075016,0
1400000US37051002504,9.8,3031.055995049873,3
1400000US37047930800,9.4,4979.527732457727,1
1400000US37045950200,10.9,4235.833464769616,1
1400000US37019020308,8.4,11714.560585041569,0
1400000US37061090502,10.4,4333.585493712334,1
1400000US37063002027,9.4,341.58154130914755,52
1400000US37055970602,8.8,1924.782742686132,3
1400000US37045951601,10.6,3155.561504617362,2
1400000US37035011000,11.2,607.6624815888069,30
1400000US37033930300,10.7,24359.712539197364,0
1400000US37019020305,8.7,2206.7403103176725,2
1400000US37031970703,9.2,4145.6640993655255,1
1400000US37025041502,8.7,4531.809418546671,2
1400000US37021001802,8.3,2330.874740169765,11
1400000US37013930600,8.5,7646.390399508459,0
1400000US37063002024,8.0,1233.0411985340236,22
1400000US37045950900,12.8,795.891454781608,12
1400000US37059080200,9.0,6451.571481915847,0
1400000US37031970804,8.5,6513.655130320129,0
1400000US37021003103,8.3,2092.273834792115,2
1400000US37043950100,9.0,21489.40449158275,0
1400000US37045950302,9.9,3438.898809041445,2
1400000US37021002503,9.2,1961.6608388252137,1
1400000US37019020303,8.8,7160.404955544832,0
1400000US37035011200,9.2,568.6175452662225,13
1400000US37061090501,9.7,6302.270767840036,0
1400000US37019020405,9.4,10000.492022184424,0
1400000US37049961301,9.5,2374.715214167354,2
1400000US37039930500,8.9,4763.641519694,1
1400000US37021002102,10.2,389.7793766904516,14
1400000US37047930200,11.2,9546.795323300496,0
1400000US37063000500,10.6,927.8985548019808,29
1400000US37051001901,10.7,1664.989972291953,7
1400000US37059080700,10.1,1623.0836260175672,1
1400000US37033930100,10.9,15052.49940861986,0
1400000US37037020106,8.6,11675.002892467815,0
1400000US37019020404,9.4,6353.355255033488,0
1400000US37035011401,9.7,1537.3461338407394,10
1400000US37051002600,9.6,8756.981124158225,0
1400000US37051001400,11.6,4252.926241170154,3
1400000US37063002300,10.0,594.7983040328676,25
1400000US37021002604,9.3,3857.814511567059,1
1400000US37025041200,8.9,5478.222087001354,0
1400000US37035010102,8.9,1537.263285782973,18
1400000US37021002401,10.0,7209.605841604412,0
