GEOID,Asthma_prev,geometry
1400000US37045951400,10.0,POINT (-81.66200384 35.32544515)
1400000US37035011101,9.2,POINT (-81.38892007 35.6968928)
1400000US37047930500,11.2,POINT (-78.85934671 34.41050524)
1400000US37021002506,10.7,POINT (-82.64345686 35.58168984)
1400000US37039930601,9.5,POINT (-84.16855941 35.0895519)
1400000US37059080300,8.7,POINT (-80.46461065 35.96518403)
1400000US37037020200,8.9,POINT (-79.34730421 35.77770927)
1400000US37057060302,9.1,POINT (-80.30834745 35.98341974)
1400000US37035010301,9.4,POINT (-81.25801699 35.78864534)
1400000US37013931000,10.3,POINT (-77.1191368 35.47067414)
1400000US37051003310,10.8,POINT (-79.0053866 35.06747615)
1400000US37039930400,9.7,POINT (-83.96447375 35.11762559)
1400000US37061090300,11.6,POINT (-78.09246833 35.00162214)
1400000US37051002503,9.7,POINT (-78.88581329 35.13434641)
1400000US37013930502,9.7,POINT (-76.96811289 35.55192171)
1400000US37061090702,10.8,POINT (-77.99563965 34.75957225)
1400000US37059080100,9.6,POINT (-80.64338831 35.94216734)
1400000US37013930800,10.7,POINT (-76.76448768 35.29469383)
1400000US37051003307,10.3,POINT (-79.02307736 35.04894991)
1400000US37023021203,10.4,POINT (-81.52833544 35.63591177)
1400000US37025042603,9.0,POINT (-80.65376445 35.35281184)
1400000US37051001800,10.1,POINT (-78.94123911 35.03528564)
1400000US37055970601,9.3,POINT (-75.68452751 35.91357205)
1400000US37027030200,11.1,POINT (-81.58275304 35.92263405)
1400000US37019020304,7.9,POINT (-78.10517598 33.94426007)
1400000US37063002016,10.1,POINT (-78.9660541 35.95882116)
1400000US37031970503,9.1,POINT (-76.75035227 34.73490538)
1400000US37019020603,10.5,POINT (-78.19435253 34.02251471)
1400000US37047931300,10.7,POINT (-78.60503738 34.132789)
1400000US37019020507,8.3,POINT (-78.58410672 33.91582251)
1400000US37041930200,9.7,POINT (-76.63847198 36.19334285)
1400000US37031970401,10.1,POINT (-76.754461 34.7285468)
1400000US37019020506,9.5,POINT (-78.40797074 33.94255338)
1400000US37031970802,8.5,POINT (-77.08350195 34.69034059)
1400000US37031970702,9.2,POINT (-76.90512855 34.79896851)
1400000US37025042601,8.4,POINT (-80.67952757 35.39266834)
1400000US37021002204,7.8,POINT (-82.54361645 35.49621299)
1400000US37027031401,9.8,POINT (-81.48875923 35.79710157)
1400000US37021000200,10.2,POINT (-82.5657951 35.59710677)
1400000US37063000401,7.9,POINT (-78.93150594 36.02212997)
1400000US37027030400,10.3,POINT (-81.5174221 35.86813423)
1400000US37025042000,10.4,POINT (-80.61551272 35.37582798)
1400000US37023020801,9.5,POINT (-81.61430944 35.76720593)
1400000US37051003404,7.7,POINT (-79.0153671 35.12468108)
1400000US37063000402,8.3,POINT (-78.92811159 36.01249651)
1400000US37035010303,9.6,POINT (-81.26694016 35.75382706)
1400000US37031970701,10.0,POINT (-76.9061276 34.74785281)
1400000US37063002018,8.1,POINT (-78.98579552 35.93086561)
1400000US37051001100,12.2,POINT (-78.89753879 35.08899775)
1400000US37063001603,8.5,POINT (-78.93017766 36.11637213)
1400000US37057061803,9.7,POINT (-80.28365846 35.76114673)
1400000US37047930700,11.9,POINT (-78.8310273 34.31712982)
1400000US37019020103,9.0,POINT (-78.06794438 34.22992217)
1400000US37031971101,8.4,POINT (-76.75619208 34.70269727)
1400000US37059080600,9.3,POINT (-80.57354592 35.9285473)
1400000US37021003001,9.1,POINT (-82.4500116 35.62537358)
1400000US37019020511,8.7,POINT (-78.4030638 33.91283628)
1400000US37021002607,9.3,POINT (-82.61808768 35.63551113)
1400000US37057060202,10.4,POINT (-80.20068759 36.00858353)
1400000US37025042402,10.2,POINT (-80.61925679 35.43459255)
1400000US37059080400,8.9,POINT (-80.43347002 35.89682476)
1400000US37051002402,11.1,POINT (-78.91747555 35.11135567)
1400000US37027031000,9.9,POINT (-81.60252558 36.05757907)
1400000US37019020403,10.2,POINT (-78.34158718 33.94488208)
1400000US37047931100,10.6,POINT (-78.76899687 34.18744803)
1400000US37021001900,9.2,POINT (-82.49858791 35.57745983)
1400000US37063002028,8.4,POINT (-78.83679699 35.89798242)
1400000US37033930200,10.3,POINT (-79.3308722 36.41967733)
1400000US37021002205,8.6,POINT (-82.4974417 35.46565784)
1400000US37035011602,9.7,POINT (-81.13330977 35.57307715)
1400000US37037020701,7.6,POINT (-78.96765981 35.83094792)
1400000US37051002002,10.2,POINT (-78.96290332 35.05046566)
1400000US37047930300,10.3,POINT (-78.51482381 34.32792102)
1400000US37063001303,12.7,POINT (-78.90125611 35.97286614)
1400000US37023020900,9.5,POINT (-81.54777091 35.75268367)
1400000US37031970102,9.1,POINT (-76.49961921 34.90695941)
1400000US37021003104,8.8,POINT (-82.35596716 35.66272623)
1400000US37057060304,9.8,POINT (-80.29880455 35.91810867)
1400000US37021002803,10.0,POINT (-82.61630373 35.73511615)
1400000US37051001000,12.3,POINT (-78.90888413 35.08382956)
1400000US37057061802,9.5,POINT (-80.20952412 35.73258073)
1400000US37021002101,7.3,POINT (-82.55837503 35.5359375)
1400000US37057060800,11.7,POINT (-80.10601932 35.88541159)
1400000US37019020504,8.3,POINT (-78.58156145 33.94494824)
1400000US37063002023,8.7,POINT (-78.94124087 35.91778913)
1400000US37033930400,10.2,POINT (-79.46317364 36.41743195)
1400000US37063002013,8.4,POINT (-78.90997705 35.88976867)
1400000US37063002021,8.2,POINT (-78.94458867 35.90561405)
1400000US37031970301,9.5,POINT (-76.65390191 34.82326103)
1400000US37051003313,10.0,POINT (-79.07577767 35.04550833)
1400000US37057061000,10.3,POINT (-80.06081342 35.88236688)
1400000US37017950300,11.0,POINT (-78.78730721 34.71231801)
1400000US37051003405,10.0,POINT (-79.00866299 35.13141257)
1400000US37049961302,10.1,POINT (-76.84194919 34.86082729)
1400000US37019020309,8.6,POINT (-78.13725738 33.9182398)
1400000US37031970200,9.4,POINT (-76.55145067 34.70114177)
1400000US37035011802,10.1,POINT (-81.41274339 35.60089511)
1400000US37051001902,10.4,POINT (-78.95714207 35.02393634)
1400000US37045951503,9.8,POINT (-81.62048034 35.23746983)
