GEOID,nearest_hw_dist_m,hw_count_5km
1400000US37047931300,16458.179573059057,0
1400000US37063000302,708.8827670945186,29
1400000US37195000600,1795.4085571569765,21
1400000US37079950102,9335.319871063806,0
1400000US37149920200,9295.201594810758,0
1400000US37119000800,1029.9986420045307,64
1400000US37135011601,315.57420604372777,18
1400000US37095990100,73711.67579769061,0
1400000US37071030501,4027.7120590050004,5
1400000US37173960301,16553.53259441256,0
1400000US37119003300,965.2291446710027,47
1400000US37031970602,3486.8714155768766,1
1400000US37129011300,622.5582756342689,25
1400000US37195000502,751.5058700299749,20
1400000US37015960300,8950.834479449633,0
1400000US37183052408,1113.3393866607714,31
1400000US37119002400,505.5438694085619,54
1400000US37133001800,474.4274070958582,16
1400000US37119001000,619.7194379152296,59
1400000US37081014411,1035.5071383608092,22
1400000US37095920100,55659.06184457575,0
1400000US37129011703,2800.971553860576,5
1400000US37025040800,951.0882720411321,9
1400000US37119005826,1364.2834228526397,14
1400000US37087920102,16544.219788648443,0
1400000US37151031602,666.9773448259897,43
1400000US37159050400,891.8279076761061,15
1400000US37119005811,1120.4908783690278,18
1400000US37119001606,900.5896562856699,39
1400000US37115010500,4130.136186216931,2
1400000US37129990100,3463.8195933986653,1
1400000US37119005200,228.40028095255278,63
1400000US37081010602,274.8411472902279,51
1400000US37119004302,809.5271237123505,45
1400000US37181960800,1283.5092789623448,7
1400000US37119001605,597.7094501011251,48
1400000US37067002200,666.519571348889,35
1400000US37061090400,2290.3789546624944,2
1400000US37031971001,8275.417077211754,0
1400000US37067004005,2536.4859973547523,4
1400000US37071031003,781.5698398589043,9
1400000US37051002401,2515.690324045369,12
1400000US37071032100,215.0588898481642,19
1400000US37071032506,1659.9830335074987,9
1400000US37119006208,757.7443993219492,8
1400000US37067003201,994.9364970757698,25
1400000US37147000702,1231.390269651581,19
1400000US37019990100,6977.1743730483095,0
1400000US37119001802,649.4694168654851,36
1400000US37019020309,8874.545074554753,0
1400000US37071032302,549.4419021841859,10
1400000US37035010900,707.8036014093931,33
1400000US37097061203,3431.8655176482175,3
1400000US37119005305,1516.2489470233154,42
1400000US37119003017,2706.0743239566414,6
1400000US37057061000,1354.4811248186688,16
1400000US37081011500,895.1358274631459,53
1400000US37119003902,1606.5962757639618,44
1400000US37111970300,2131.3956698236407,3
1400000US37191002000,2080.636433922539,6
1400000US37183053008,2115.83112835571,6
1400000US37081012804,453.52166339466135,31
1400000US37081012510,1125.950468540035,23
1400000US37113970200,17311.896496307614,0
1400000US37071032702,1812.148116441136,13
1400000US37199960400,6789.185793926651,0
1400000US37099950700,14029.829343956855,0
1400000US37063000101,1335.5025696760144,25
1400000US37079950300,3070.2207093433976,1
1400000US37183052506,825.4384456509565,13
1400000US37051003406,1800.0835454294042,5
1400000US37067000100,131.06358405575904,41
1400000US37183053715,1396.0936801754578,18
1400000US37181960600,3370.160076296724,2
1400000US37081013602,764.104379665146,30
1400000US37081013602,764.104379665146,30
1400000US37159050300,954.0516721358604,18
1400000US37067003702,1470.4445389113066,22
1400000US37173980200,14658.317264115476,0
1400000US37013930200,7108.8887698468325,0
1400000US37067000301,1493.2379340068317,38
1400000US37053990100,31650.50757533729,0
1400000US37183052301,2573.4538750952875,18
1400000US37043950100,21489.40449158275,0
1400000US37085070700,2662.568094239541,3
1400000US37027031401,3982.298860089895,3
1400000US37027031100,8240.763217679074,0
1400000US37027031100,8240.763217679074,0
1400000US37027031100,8240.763217679074,0
1400000US37051002700,14232.252527963288,0
1400000US37061090300,2076.234664689842,1
1400000US37183050700,713.1869284508425,39
1400000US37183052102,1047.3062179885733,28
1400000US37061090801,11700.172006498264,0
1400000US37151030202,2019.9369769675773,7
1400000US37183053607,929.6363218691594,23
1400000US37063001705,1247.5172701778342,24
1400000US37167930900,1280.520022696085,1
1400000US37167930300,1903.7876046387457,2
1400000US37089931400,630.3882297918367,3
1400000US37183054402,4491.243383504373,1
1400000US37129011800,4941.12315546182,1
1400000US37067004007,3668.480302982955,1
1400000US37129011701,1052.1817322768165,20
1400000US37051002503,827.755847718746,4
1400000US37063000600,1827.6190968526407,26
1400000US37063001001,712.3609329181453,19
1400000US37063002015,383.43581341095626,18
1400000US37067003314,3173.397947387416,7
1400000US37119003808,833.8219131839364,33
1400000US37119001607,1272.778657528872,31
1400000US37183053721,2435.318951730109,7
1400000US37105030300,1565.760357296735,10
1400000US37081013900,1101.307057072909,50
1400000US37081015707,3238.452784904359,11
1400000US37067003004,608.7039398531775,13
1400000US37183053610,2277.0157496145857,24
1400000US37019020310,3873.561404633322,2
1400000US37147001003,3116.9890559046935,2
1400000US37147000603,1251.1981581984746,13
1400000US37179021015,5740.038096790396,0
